Phase,Item,Model,Unit INR,Qty,Line INR,Link,Link status
"3, 13, 21",Flight controller,Holybro Pixhawk 6C Mini,22600,3,67800,https://robu.in/product/holybro-pixhawk-6c-mini-flight-controller/,product
"4, 14, 22",Companion computer,"Raspberry Pi 5, 8 GB",19999,3,59997,Robu.in / Silverline / Element14 India,supplier
"4, 14, 22",AI accelerator,"Raspberry Pi AI HAT+, 26 TOPS (Hailo-8)",11000,3,33000,Robu.in / Silverline; multiple Indian retailers,supplier
"5, 15, 23",GNSS RTK primary,Teravolt AeroNav-Pro RTK (or AeroNav-X5),25000,3,75000,https://teravolt.gitbook.io/teravolt/gps/aeronav-pro-rtk,quote
"2, 10, 20, 28",Motors,"Tarot TL96020, 5008, 340 KV",4500,12,54000,Robokits India / IndiaMART,supplier
"8, 18, 26",Li-ion cells,"Molicel P45B 21700, 4500 mAh, 45 A",700,54,37800,Robokits India (imported listing),supplier
"7, 17, 25",Structure,"25 x 23 mm carbon tube, machined clamps",13000,3,39000,in-house / local machine shop,fabricate
"6, 16, 24",Camera + lens,"Arducam 12.3 MP IMX477, 1/2.3 in, 6 mm CS mount, fixed focus",11100,3,33300,https://robu.in/product/arducam-hq-camera-for-jetson-nano-and-xavier-nx-12-3mp-1-2-3-inch-imx477-with-6mm-cs-mount-lens/,product
"8, 18, 26","Pack, BMS, PDB, BEC","6S 60 A BMS, distribution board, regulator",8500,3,25500,Robu.in / IndiaMART,supplier
"6, 16, 24","RC rx, storage, cooling, mounts","ExpressLRS 2.4 GHz receiver, storage, cooling, mounts",8500,3,25500,Robu.in / IndiaMART,supplier
"9, 19, 27",ESCs,"50-60 A continuous, 6S",1800,12,21600,Robokits India / Robu.in,supplier
"6, 16, 24",Mesh node + antennas,5.8 GHz mesh node and antennas,6000,3,18000,supplier quotation,quote
"9, 19, 27",Payload system,"Four metal-gear servos, mechanical detents",4500,3,13500,Robu.in / Robokits India,supplier
"9, 19, 27",Propellers,"Tarot 1855 carbon, 18 in, CW/CCW",1625,12,19500,Robokits India,supplier
"9, 19, 27","Wiring, connectors","10 AWG silicone, XT90-S, JST-GH",2400,3,7200,Robu.in / IndiaMART,supplier
"9, 19, 27",Prop adapters,4 mm bore self-tightening hubs (Tarot TL96020 shaft is 4 mm),350,12,4200,Robokits India / Robu.in,supplier
"9, 19, 27",VEGA co-processor,VEGA RISC-V development kit (no cost line),0,3,0,C-DAC VEGA processor programme,supplier
29,RTK base receiver,"Second Teravolt AeroNav unit, base station",25000,1,25000,https://teravolt.gitbook.io/teravolt/gps/aeronav-x5,quote
30,Survey tripod + tribrach,Photographic tripod and adapter,4000,1,4000,IndiaMART / local survey supplier,supplier
11,Safety-pilot transmitter,"RadioMaster Boxer, ExpressLRS",8000,1,8000,IndiaMART / Robu.in,supplier
12,Sun hood + observer monitor,"Fabricated hood, second-hand monitor",1500,1,1500,fabricated; monitor sourced locally,fabricate
31,Remaining ground items,"Cables, mounts, spares, transport protection",25000,1,25000,local / Robu.in,supplier
1,Thrust stand,"20 kg load cell, HX711, power meter, in-house frame",8000,1,8000,load cell and HX711 from Robu.in; frame fabricated,fabricate
11,Battery chargers,"ToolkitRC M6D, 500 W, 25 A, dual",14000,1,14000,Indian Hobby Center / Robu.in,supplier
1,Calibrated scale + remaining,"Bench scale, 30 kg, 1 g, certified",12000,1,12000,IndiaMART (calibration certificate required),supplier
12,"Fasteners, tape, connectors, filament",Consumables,13000,1,13000,local / Robu.in,supplier
32,DGCA registration,"Statutory fee, three aircraft",5000,1,5000,https://digitalsky.dgca.gov.in/,verified
,PARTS TOTAL,,,,650397,,
